round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
339,400,0,0,0,0,0,12,0,-49.9,0.0551
340,317,0,0,4,2,0,9,1,-83.1,0.0548
341,261,1,1,2,2,0,8,1,-69.0,0.0546
342,221,1,1,7,2,0,12,1,-69.8,0.0543
343,400,1,1,2,1,0,12,0,-28.1,0.054
344,400,1,1,11,2,0,19,0,-35.0,0.0538
345,400,0,0,0,0,0,6,0,-20.3,0.0535
346,141,0,0,3,1,0,8,1,-85.5,0.0532
347,400,0,0,0,0,0,12,0,-54.9,0.053
348,56,0,0,3,1,0,4,1,-68.5,0.0527
349,400,3,3,4,2,0,13,0,-18.9,0.0524
350,400,2,2,3,1,0,9,0,-26.5,0.0522
351,115,0,0,3,1,0,3,1,-68.4,0.0519
352,400,2,2,3,1,0,11,0,-35.2,0.0516
353,400,0,0,0,0,0,5,0,-33.3,0.0514
354,243,2,2,3,2,0,10,1,-73.6,0.0511
355,186,0,0,3,1,0,8,1,-88.7,0.0509
356,400,3,3,3,1,0,5,0,-5.8,0.0506
357,75,0,0,1,1,0,3,1,-69.4,0.0504
358,400,1,1,3,1,0,11,0,-27.8,0.0501
359,331,0,0,3,1,0,6,1,-94.8,0.05
360,400,4,4,5,2,0,6,0,4.7,0.05
361,114,0,0,1,1,0,6,1,-79.6,0.05
362,400,0,0,0,0,0,5,0,-18.6,0.05
363,400,1,1,2,1,0,11,0,-37.5,0.05
364,244,0,0,3,1,0,11,1,-100.0,0.05
365,13,0,0,3,1,0,1,1,-59.9,0.05
366,101,0,0,4,1,0,5,1,-72.7,0.05
367,93,0,0,3,1,0,4,1,-72.3,0.05
368,289,2,2,6,2,0,9,1,-72.5,0.05
369,44,0,0,2,1,0,4,1,-73.7,0.05
370,400,2,2,3,2,0,14,0,-22.1,0.05
371,380,1,1,5,2,0,12,1,-76.5,0.05
372,400,4,4,5,2,0,10,0,-9.7,0.05
373,330,2,2,6,3,0,9,1,-63.2,0.05
374,125,0,0,4,1,0,7,1,-82.2,0.05
375,400,3,3,4,1,0,12,0,-6.2,0.05
376,400,0,0,2,1,0,15,0,-46.3,0.05
377,7,0,0,4,1,0,3,1,-61.6,0.05
378,400,1,1,2,2,0,13,0,-46.4,0.05
379,140,1,1,4,2,0,8,1,-63.5,0.05
380,114,0,0,4,1,0,5,1,-73.8,0.05
381,400,2,2,4,3,0,12,0,-22.7,0.05
382,400,2,2,3,1,0,15,0,-35.9,0.05
383,400,0,0,0,0,0,7,0,-38.4,0.05
384,400,0,0,0,0,0,8,0,-44.4,0.05
385,389,0,0,8,2,0,9,1,-88.6,0.05
386,107,0,0,2,1,0,6,1,-79.3,0.05
387,400,2,2,3,1,0,14,0,-26.5,0.05
388,400,1,1,1,1,0,21,0,-66.0,0.05
389,400,3,3,6,1,0,8,0,-10.7,0.05
390,140,0,0,2,1,0,7,1,-85.9,0.05
391,400,1,1,3,1,0,11,0,-26.6,0.05
392,400,2,2,6,1,0,9,0,-16.3,0.05
393,400,1,1,4,2,0,11,0,-41.7,0.05
394,158,0,0,2,1,0,2,1,-73.1,0.05
395,400,4,4,7,2,0,11,0,-5.0,0.05
396,400,1,1,1,1,0,16,0,-47.7,0.05
397,70,0,0,3,1,0,4,1,-71.1,0.05
398,400,0,0,1,1,0,11,0,-39.9,0.05
399,228,0,0,3,1,0,12,1,-100.7,0.05
400,400,2,2,2,1,0,9,0,-13.7,0.05
401,65,0,0,4,1,0,4,1,-68.4,0.05
402,62,0,0,4,1,0,4,1,-68.3,0.05
403,202,0,0,4,1,0,13,1,-103.3,0.05
404,400,0,0,0,0,0,9,0,-45.1,0.05
405,67,0,0,4,1,0,4,1,-71.9,0.05
406,400,0,0,0,0,0,13,0,-56.9,0.05
407,400,3,3,8,2,0,10,0,-6.6,0.05
408,400,0,0,5,2,0,11,0,-48.3,0.05
409,400,0,0,0,0,0,14,0,-62.1,0.05
410,176,0,0,2,1,0,5,1,-79.7,0.05
411,400,0,0,3,2,0,16,0,-43.2,0.05
