round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
4100,39,1,1,11,5,0,3,1,-12.7,0.05
4101,7,0,0,3,1,0,0,1,-42.1,0.05
4102,23,1,1,9,3,0,1,1,-22.1,0.05
4103,23,2,2,10,3,0,1,1,-12.3,0.05
4104,77,2,2,14,5,0,1,1,13.5,0.05
4105,29,0,0,11,4,0,1,1,-26.5,0.05
4106,84,1,1,21,11,0,9,1,-2.0,0.05
4107,71,0,0,6,3,0,2,1,-42.2,0.05
4108,21,0,0,11,3,0,0,1,-31.2,0.05
4109,49,0,0,6,2,0,3,1,-53.2,0.05
4110,269,4,4,29,29,0,7,1,114.4,0.05
4111,45,1,1,21,5,0,5,1,-11.6,0.05
4112,20,1,1,11,3,0,3,1,-28.7,0.05
4113,178,2,2,29,21,0,8,1,85.8,0.05
4114,12,0,0,10,2,0,3,1,-40.7,0.05
4115,17,1,1,7,2,0,1,1,-31.3,0.05
4116,132,4,4,36,16,0,5,1,70.6,0.05
4117,7,0,0,5,1,0,0,1,-38.8,0.05
4118,179,0,0,11,18,1,2,1,62.4,0.05
4119,355,7,2,25,40,1,13,1,178.3,0.05
4120,43,0,0,10,5,0,2,1,-26.8,0.05
4121,166,10,5,34,18,1,0,1,148.2,0.05
4122,50,0,0,17,6,0,2,1,-16.5,0.05
4123,75,2,2,27,9,0,3,1,30.3,0.05
4124,13,0,0,5,2,0,3,1,-46.6,0.05
4125,227,4,4,34,15,0,0,1,115.3,0.05
4126,29,0,0,15,4,0,3,1,-24.2,0.05
4127,400,3,3,23,41,0,15,0,117.5,0.05
4128,126,8,3,25,11,1,5,1,78.0,0.05
4129,13,0,0,6,2,0,4,1,-46.2,0.05
4130,64,0,0,13,8,0,9,1,-18.9,0.05
4131,82,4,4,24,9,0,1,1,61.3,0.05
4132,120,2,2,25,12,0,5,1,38.2,0.05
4133,22,2,2,9,3,0,2,1,-21.4,0.05
4134,400,7,2,36,38,1,10,0,248.6,0.05
4135,20,2,2,8,3,0,3,1,-26.2,0.05
4136,132,2,2,21,13,0,9,0,38.1,0.05
4137,21,0,0,8,3,0,2,1,-34.0,0.05
4138,79,1,1,18,7,0,6,1,-15.0,0.05
4139,136,2,2,25,15,0,3,1,66.5,0.05
4140,65,1,1,20,8,0,4,1,4.2,0.05
4141,76,0,0,22,10,0,2,1,16.3,0.05
4142,400,7,2,28,47,1,7,0,178.4,0.05
4143,400,3,3,34,41,0,9,0,149.5,0.05
4144,124,3,3,19,12,0,7,1,33.9,0.05
4145,65,1,1,15,8,0,3,1,9.5,0.05
4146,74,2,2,17,9,0,3,1,24.2,0.05
4147,119,1,1,20,14,0,6,1,32.0,0.05
4148,30,1,1,7,4,0,1,1,-28.2,0.05
4149,133,1,1,12,17,0,3,1,-18.2,0.05
4150,70,0,0,33,10,0,4,1,5.7,0.05
4151,22,0,0,8,3,0,1,1,-34.8,0.05
4152,53,0,0,18,7,0,2,1,-12.9,0.05
4153,116,1,1,29,13,0,3,1,30.8,0.05
4154,400,0,0,17,41,0,6,0,122.4,0.05
4155,57,2,2,17,7,0,4,1,4.1,0.05
4156,218,1,1,30,24,0,11,1,100.2,0.05
4157,12,0,0,6,2,0,3,1,-48.4,0.05
4158,71,0,0,15,7,0,2,1,-10.7,0.05
4159,7,0,0,3,1,0,0,1,-42.1,0.05
4160,319,7,2,34,36,1,13,0,177.3,0.05
4161,39,2,2,23,5,0,4,1,6.9,0.05
4162,224,2,2,33,21,0,7,1,72.7,0.05
4163,20,0,0,11,3,0,2,1,-33.2,0.05
4164,66,0,0,8,4,0,3,1,-41.0,0.05
4165,22,1,1,11,3,0,1,1,-23.7,0.05
4166,135,3,3,19,6,0,3,1,14.9,0.05
4167,327,1,1,26,33,0,17,1,92.6,0.05
4168,400,1,1,23,44,0,12,0,182.8,0.05
4169,116,1,1,18,11,0,7,1,25.8,0.05
4170,102,1,1,17,7,0,7,1,-14.2,0.05
4171,57,0,0,29,9,0,3,0,26.7,0.05
4172,17,1,1,4,2,0,3,1,-39.6,0.05
4173,382,4,4,38,42,0,5,0,264.9,0.05
4174,64,0,0,13,6,0,4,1,-21.2,0.05
4175,13,0,0,4,2,0,3,1,-49.5,0.05
4176,20,0,0,11,3,0,1,1,-30.4,0.05
4177,17,1,1,7,2,0,3,1,-37.0,0.05
4178,269,1,1,30,27,0,6,1,118.3,0.05
4179,36,0,0,5,3,0,1,1,-40.8,0.05
4180,20,0,0,11,3,0,1,1,-31.7,0.05
4181,37,0,0,6,2,0,1,1,-35.9,0.05
4182,58,0,0,10,4,0,1,1,-37.0,0.05
4183,400,3,3,16,26,0,11,0,80.9,0.05
4184,71,1,1,12,5,0,1,1,-12.1,0.05
4185,400,0,0,40,51,0,5,0,129.3,0.05
4186,400,7,2,34,40,1,9,0,250.9,0.05
4187,71,1,1,18,9,0,3,1,11.7,0.05
4188,41,0,0,12,6,0,0,1,-14.7,0.05
4189,13,0,0,5,2,0,4,1,-50.5,0.05
4190,196,0,0,27,24,0,6,1,23.4,0.05
4191,25,1,1,10,3,0,3,1,-27.1,0.05
4192,182,2,2,30,21,0,8,1,92.3,0.05
4193,82,0,0,34,11,0,6,1,24.8,0.05
4194,400,3,3,29,39,0,8,0,132.7,0.05
4195,102,2,2,30,12,0,7,1,40.4,0.05
4196,129,2,2,14,12,0,5,1,38.6,0.05
4197,141,1,1,16,19,0,7,1,33.5,0.05
4198,124,2,2,20,15,0,7,1,29.3,0.05
4199,20,0,0,10,3,0,1,1,-33.1,0.05
4200,13,0,0,3,2,0,3,1,-50.5,0.05
4201,13,0,0,3,2,0,3,1,-50.0,0.05
4202,48,1,1,13,6,0,5,1,-20.9,0.05
4203,86,1,1,22,8,1,1,1,53.8,0.05
4204,14,0,0,4,2,0,4,1,-52.0,0.05
4205,210,1,1,20,17,0,15,0,8.4,0.05
4206,82,0,0,22,10,0,2,1,27.1,0.05
4207,165,3,3,42,17,0,8,1,83.0,0.05
4208,15,1,1,5,2,0,1,1,-34.1,0.05
4209,26,0,0,8,3,0,3,1,-42.1,0.05
4210,31,1,1,5,4,0,0,1,-33.2,0.05
4211,20,0,0,10,3,0,4,1,-41.7,0.05
4212,20,1,1,12,3,0,1,1,-21.7,0.05
4213,65,2,2,25,8,0,5,1,16.8,0.05
4214,93,2,2,33,13,0,3,0,62.7,0.05
4215,372,2,2,29,34,0,5,1,158.6,0.05
4216,400,1,1,18,39,0,4,0,57.8,0.05
4217,360,8,3,43,31,1,12,1,185.0,0.05
4218,90,0,0,14,8,0,6,1,-16.2,0.05
4219,149,2,2,23,16,0,6,1,69.0,0.05
4220,23,1,1,9,3,0,1,1,-20.6,0.05
4221,27,1,1,9,4,0,3,1,-29.6,0.05
4222,78,0,0,23,11,0,5,1,6.2,0.05
4223,35,1,1,8,5,0,1,1,-24.9,0.05
4224,315,1,1,37,37,0,19,1,70.4,0.05
4225,325,0,0,26,34,0,5,1,65.1,0.05
4226,52,2,2,25,7,0,1,1,24.2,0.05
4227,20,1,1,9,3,0,3,1,-26.2,0.05
4228,23,1,1,8,3,0,1,1,-23.1,0.05
4229,117,1,1,34,14,0,6,1,53.7,0.05
4230,75,3,3,29,10,0,5,1,30.9,0.05
4231,13,0,0,3,2,0,3,1,-50.5,0.05
4232,27,1,1,12,4,0,1,1,-18.8,0.05
4233,93,1,1,24,10,0,1,1,45.9,0.05
4234,48,0,0,19,6,0,3,1,-4.0,0.05
4235,50,0,0,18,7,0,2,1,5.7,0.05
4236,74,1,1,13,10,0,3,1,10.1,0.05
4237,66,2,2,16,8,0,2,1,17.5,0.05
4238,21,0,0,10,3,0,2,1,-31.2,0.05
4239,5,0,0,1,1,0,3,1,-56.0,0.05
4240,400,7,2,35,43,1,14,0,264.9,0.05
4241,55,1,1,16,8,0,1,1,-0.8,0.05
4242,19,0,0,8,3,0,0,1,-26.7,0.05
4243,20,0,0,7,3,0,4,1,-43.6,0.05
4244,13,0,0,3,2,0,4,1,-53.5,0.05
4245,400,0,0,29,38,0,16,0,87.0,0.05
4246,72,2,2,21,9,0,5,1,23.0,0.05
4247,73,2,2,21,8,0,4,1,8.5,0.05
4248,170,2,2,16,10,0,5,1,-5.0,0.05
4249,41,0,0,12,4,0,3,1,-30.0,0.05
4250,400,6,1,29,41,1,10,0,166.5,0.05
4251,249,3,3,29,29,0,14,1,76.3,0.05
