round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1,38,0,0,5,1,0,3,1,-52.7,0.3
2,71,1,1,4,2,0,11,1,-75.8,0.2985
3,11,0,0,2,1,0,4,1,-70.6,0.297
4,16,0,0,4,1,0,3,1,-70.6,0.2955
5,26,0,0,2,1,0,5,1,-68.2,0.294
6,16,0,0,2,1,0,5,1,-79.5,0.2926
7,17,0,0,3,1,0,3,1,-58.1,0.2911
8,17,0,0,3,1,0,4,1,-74.6,0.2897
9,28,0,0,4,1,0,11,1,-87.2,0.2882
10,75,4,4,18,5,0,14,1,-20.3,0.2868
11,7,0,0,4,1,0,4,1,-67.0,0.2853
12,12,0,0,3,1,0,4,1,-71.5,0.2839
13,11,0,0,2,1,0,2,1,-65.5,0.2825
14,28,0,0,3,1,0,6,1,-64.5,0.2811
15,90,1,1,10,3,0,19,1,-99.8,0.2797
16,85,4,4,16,3,0,14,1,-39.8,0.2783
17,184,8,8,22,7,0,34,1,-42.9,0.2769
18,97,3,3,18,5,0,25,1,-80.3,0.2755
19,6,0,0,3,1,0,1,1,-42.6,0.2741
20,19,1,1,3,2,0,6,1,-58.6,0.2727
21,23,0,0,4,1,0,5,1,-82.1,0.2714
22,104,4,4,12,6,0,29,1,-87.0,0.27
23,70,3,3,12,4,0,20,1,-54.3,0.2687
24,51,0,0,9,3,0,18,1,-89.3,0.2673
25,5,0,0,2,1,0,3,1,-56.0,0.266
26,43,1,1,8,2,0,16,1,-86.4,0.2647
27,106,1,1,4,5,0,12,1,-67.1,0.2633
28,67,1,1,8,2,0,18,1,-93.5,0.262
29,43,1,1,5,2,0,11,1,-75.2,0.2607
30,5,0,0,3,1,0,3,1,-63.5,0.2594
31,15,0,0,2,1,0,1,1,-51.2,0.2581
32,33,0,0,4,1,0,4,1,-92.5,0.2568
33,11,0,0,2,1,0,5,1,-73.1,0.2555
34,30,0,0,3,1,0,6,1,-68.9,0.2543
35,186,2,2,7,5,0,23,1,-85.7,0.253
36,34,1,1,6,2,0,9,1,-58.9,0.2517
37,78,1,1,5,2,0,22,1,-121.4,0.2505
38,26,2,2,5,2,0,5,1,-39.6,0.2492
39,66,2,2,8,2,0,7,1,-48.2,0.248
40,9,0,0,2,1,0,2,1,-47.3,0.2467
41,181,2,2,6,4,0,27,1,-106.7,0.2455
42,153,8,8,22,5,0,29,1,-55.9,0.2443
43,214,3,3,9,4,0,35,1,-117.1,0.243
44,68,0,0,3,5,0,24,1,-114.8,0.2418
45,222,4,4,13,7,0,23,1,-48.0,0.2406
46,10,0,0,3,1,0,2,1,-66.0,0.2394
47,10,0,0,2,1,0,3,1,-66.5,0.2382
48,37,0,0,2,1,0,6,1,-72.3,0.237
49,84,1,1,7,2,0,12,1,-65.6,0.2358
50,146,3,3,6,3,0,16,1,-66.1,0.2347
51,186,1,1,5,2,0,17,1,-91.9,0.2335
52,59,0,0,3,3,0,13,1,-86.2,0.2323
53,33,1,1,8,3,0,12,1,-52.6,0.2312
54,25,1,1,6,2,0,5,1,-44.4,0.23
55,128,2,2,7,2,0,17,1,-92.0,0.2289
56,73,0,0,5,2,0,13,1,-94.2,0.2277
57,30,0,0,3,1,0,6,1,-63.7,0.2266
58,11,0,0,2,1,0,4,1,-68.7,0.2254
59,400,4,4,7,6,0,31,0,-56.6,0.2243
60,63,0,0,3,1,0,7,1,-71.5,0.2232
61,132,2,2,5,2,0,19,1,-87.3,0.2221
62,400,2,2,8,8,0,42,0,-106.3,0.221
63,61,1,1,8,2,0,4,1,-44.0,0.2199
64,125,4,4,9,3,0,19,1,-56.9,0.2188
65,79,0,0,2,1,0,8,1,-74.5,0.2177
66,217,1,1,6,5,0,24,1,-108.5,0.2166
67,7,0,0,2,1,0,1,1,-45.1,0.2155
68,29,0,0,4,2,0,9,1,-65.9,0.2144
69,9,0,0,1,1,0,2,1,-53.1,0.2133
70,54,0,0,3,1,0,5,1,-66.0,0.2123
71,51,2,2,8,3,0,7,1,-36.1,0.2112
72,113,2,2,7,3,0,12,1,-74.0,0.2102
73,85,0,0,3,1,0,10,1,-91.1,0.2091
74,150,1,1,2,3,0,25,1,-107.7,0.2081
75,48,1,1,5,2,0,11,1,-61.7,0.207
76,86,0,0,4,1,0,11,1,-91.1,0.206
77,10,0,0,3,1,0,4,1,-67.2,0.205
78,185,1,1,6,2,0,25,1,-111.4,0.2039
79,61,2,2,3,3,0,14,1,-67.9,0.2029
80,24,0,0,3,1,0,6,1,-72.8,0.2019
81,114,0,0,5,2,0,15,1,-90.0,0.2009
82,40,1,1,3,2,0,7,1,-52.2,0.1999
83,22,0,0,5,1,0,3,1,-52.8,0.1989
84,400,16,16,34,12,0,32,0,101.7,0.1979
85,50,0,0,3,1,0,7,1,-65.5,0.1969
86,400,3,3,8,7,0,46,0,-98.2,0.1959
87,46,1,1,9,3,0,10,1,-49.5,0.1949
88,50,0,0,4,2,0,5,1,-55.1,0.194
89,104,2,2,6,2,0,9,1,-52.5,0.193
90,96,3,3,12,4,0,14,1,-41.8,0.192
91,35,1,1,8,2,0,5,1,-41.1,0.1911
92,48,3,3,8,3,0,7,1,-30.2,0.1901
93,99,2,2,6,4,0,12,1,-53.5,0.1892
94,400,4,4,12,5,0,31,0,-36.6,0.1882
95,241,7,7,18,4,0,15,1,-14.0,0.1873
96,10,0,0,4,1,0,3,1,-63.7,0.1863
97,400,7,7,17,4,0,36,0,-35.6,0.1854
98,400,1,1,7,6,0,30,0,-76.1,0.1845
99,293,8,8,17,5,0,25,1,-50.9,0.1836
100,39,0,0,3,1,0,8,1,-89.8,0.1826
101,5,0,0,4,1,0,0,1,-56.5,0.1817
102,35,0,0,3,1,0,6,1,-74.3,0.1808
103,15,0,0,3,1,0,0,1,-42.0,0.1799
104,20,1,1,4,2,0,3,1,-41.6,0.179
105,400,14,14,23,7,0,25,0,70.7,0.1781
106,126,2,2,10,4,0,14,1,-46.3,0.1772
107,145,0,0,6,2,0,12,1,-77.2,0.1763
108,51,2,2,5,2,0,3,1,-37.6,0.1755
109,29,3,3,6,2,0,9,1,-42.8,0.1746
110,400,2,2,6,6,0,33,0,-76.7,0.1737
111,400,2,2,10,10,0,34,0,-73.2,0.1728
112,74,2,2,6,2,0,9,1,-53.7,0.172
113,56,2,2,7,3,0,4,1,-23.9,0.1711
114,32,0,0,3,1,0,6,1,-73.2,0.1703
115,64,4,4,12,5,0,5,1,6.9,0.1694
116,59,2,2,7,2,0,7,1,-42.1,0.1686
117,357,3,3,20,9,0,34,1,-79.7,0.1677
118,15,0,0,3,2,0,6,1,-55.7,0.1669
119,103,4,4,10,5,0,8,1,-12.9,0.1661
120,227,5,5,20,6,0,18,1,-28.1,0.1652
121,231,4,4,12,5,0,25,1,-62.3,0.1644
122,64,7,7,17,6,0,13,1,8.4,0.1636
123,396,1,1,7,5,0,38,1,-143.7,0.1628
124,69,1,1,5,2,0,10,1,-65.0,0.1619
125,77,1,1,7,2,0,10,1,-81.9,0.1611
126,396,5,5,11,7,0,32,1,-89.8,0.1603
127,400,3,3,5,4,0,42,0,-105.1,0.1595
128,56,0,0,4,1,0,6,1,-76.3,0.1587
129,87,3,3,10,5,0,10,1,-37.4,0.1579
130,109,0,0,4,2,0,12,1,-89.9,0.1571
131,142,1,1,5,3,0,7,1,-64.4,0.1564
132,282,3,3,12,6,0,25,1,-82.1,0.1556
133,113,0,0,4,1,0,12,1,-113.0,0.1548
134,77,0,0,3,1,0,8,1,-81.8,0.154
135,87,0,0,4,1,0,8,1,-86.5,0.1533
136,168,2,2,8,4,0,7,1,-39.2,0.1525
137,202,2,2,7,3,0,20,1,-90.1,0.1517
138,62,0,0,3,1,0,8,1,-85.4,0.151
139,9,0,0,3,1,0,3,1,-63.7,0.1502
140,316,5,5,17,5,0,15,1,-41.7,0.1495
141,400,3,3,8,7,0,25,0,-45.8,0.1487
142,64,0,0,2,1,0,3,1,-53.8,0.148
143,400,5,5,15,10,0,35,0,-19.4,0.1472
144,32,0,0,3,1,0,3,1,-53.7,0.1465
145,110,1,1,3,3,0,9,1,-67.1,0.1458
146,70,0,0,5,2,0,8,1,-71.8,0.145
147,400,4,4,10,5,0,34,0,-52.9,0.1443
148,269,2,2,6,2,0,20,1,-94.3,0.1436
149,88,4,4,10,4,0,3,1,4.0,0.1429
150,400,2,2,4,2,0,38,0,-109.1,0.1422
151,42,2,2,4,2,0,2,1,-28.2,0.1414
152,21,0,0,6,3,0,1,1,-31.9,0.1407
153,101,1,1,12,7,0,9,1,-33.5,0.14
154,327,15,15,29,9,0,20,1,66.0,0.1393
155,8,0,0,2,1,0,2,1,-52.1,0.1386
156,400,4,4,17,8,0,27,1,-68.4,0.1379
157,20,1,1,5,2,0,6,1,-44.5,0.1373
158,57,0,0,8,3,0,10,1,-56.6,0.1366
159,251,3,3,12,7,0,12,1,-29.4,0.1359
160,180,0,0,6,3,0,16,1,-93.6,0.1352
161,260,4,4,14,8,0,8,1,-12.1,0.1345
162,44,2,2,6,3,0,6,1,-35.8,0.1339
163,400,2,2,6,4,0,25,0,-48.9,0.1332
164,251,2,2,11,7,0,18,1,-65.7,0.1325
165,161,0,0,3,1,0,9,1,-86.8,0.1319
166,132,5,5,15,5,0,8,1,-4.9,0.1312
167,87,0,0,2,4,0,6,1,-63.8,0.1305
168,8,0,0,2,1,0,0,1,-41.1,0.1299
169,14,0,0,2,2,0,0,1,-46.7,0.1292
170,216,3,3,8,3,0,11,1,-48.4,0.1286
171,230,4,4,15,6,0,14,1,-22.2,0.128
172,400,1,1,6,4,0,36,0,-99.8,0.1273
173,116,0,0,4,2,0,11,1,-76.1,0.1267
174,99,6,6,21,6,0,8,1,19.3,0.126
175,312,6,6,14,17,0,18,1,-8.1,0.1254
176,306,0,0,6,4,0,33,1,-146.6,0.1248
177,54,3,3,11,3,0,11,1,-32.6,0.1242
178,93,4,4,10,3,0,10,1,-31.7,0.1235
179,42,4,4,12,4,0,7,1,-13.9,0.1229
180,170,5,5,12,5,0,12,1,-8.4,0.1223
181,99,1,1,2,2,0,12,1,-72.2,0.1217
182,80,3,3,7,3,0,4,1,-18.6,0.1211
183,16,1,1,4,2,0,6,1,-44.6,0.1205
184,400,12,12,23,6,0,20,0,73.0,0.1199
185,400,10,10,23,13,0,22,0,65.5,0.1193
186,40,3,3,12,4,0,9,1,-22.2,0.1187
187,26,1,1,10,3,0,7,1,-37.8,0.1181
188,13,0,0,4,1,0,2,1,-49.1,0.1175
189,14,0,0,6,2,0,4,1,-43.1,0.1169
190,27,3,3,10,3,0,2,1,-13.5,0.1163
191,8,0,0,3,1,0,0,1,-44.8,0.1157
192,7,0,0,2,1,0,0,1,-40.7,0.1152
193,15,1,1,5,2,0,5,1,-43.5,0.1146
194,26,2,2,11,3,0,3,1,-18.4,0.114
195,35,4,4,6,4,0,8,1,-26.5,0.1134
