round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1,138,2,2,8,2,0,26,1,-120.1,0.3
2,22,0,0,4,1,0,8,1,-84.7,0.2985
3,28,0,0,3,1,0,10,1,-77.0,0.297
4,36,0,0,2,1,0,9,1,-70.0,0.2955
5,19,0,0,2,1,0,4,1,-73.7,0.294
6,27,2,2,8,2,0,12,1,-48.8,0.2926
7,13,0,0,3,1,0,3,1,-67.7,0.2911
8,14,0,0,3,1,0,4,1,-72.6,0.2897
9,60,2,2,6,4,0,13,1,-47.4,0.2882
10,58,4,4,18,4,0,8,1,6.8,0.2868
11,7,0,0,3,1,0,4,1,-68.0,0.2853
12,20,0,0,3,1,0,5,1,-80.1,0.2839
13,40,1,1,5,2,0,5,1,-34.0,0.2825
14,16,0,0,3,1,0,4,1,-76.5,0.2811
15,18,0,0,4,1,0,6,1,-80.0,0.2797
16,39,4,4,14,3,0,4,1,7.6,0.2783
17,5,0,0,3,1,0,3,1,-63.5,0.2769
18,12,0,0,3,1,0,4,1,-50.7,0.2755
19,27,1,1,5,2,0,7,1,-41.2,0.2741
20,8,0,0,2,1,0,3,1,-67.5,0.2727
21,46,1,1,7,3,0,6,1,-35.2,0.2714
22,67,3,3,10,3,0,12,1,-27.5,0.27
23,34,2,2,8,2,0,6,1,-38.3,0.2687
24,26,0,0,8,2,0,9,1,-53.4,0.2673
25,13,0,0,3,1,0,3,1,-72.0,0.266
26,26,1,1,7,3,0,3,1,-14.2,0.2647
27,34,3,3,9,3,0,11,1,-24.1,0.2633
28,10,0,0,4,1,0,3,1,-43.6,0.262
29,21,2,2,8,2,0,6,1,-27.1,0.2607
30,27,2,2,8,2,0,8,1,-40.9,0.2594
31,16,0,0,5,2,0,9,1,-53.6,0.2581
32,62,2,2,11,5,0,17,1,-33.7,0.2568
33,17,1,1,8,2,0,4,1,-24.5,0.2555
34,37,2,2,13,3,0,9,1,-18.0,0.2543
35,117,4,4,12,6,0,22,1,-31.4,0.253
36,38,0,0,6,4,0,5,1,-32.1,0.2517
37,22,1,1,5,3,0,3,1,-17.0,0.2505
38,41,3,3,8,3,0,3,1,2.4,0.2492
39,30,0,0,5,2,0,8,1,-51.7,0.248
40,32,1,1,12,3,0,6,1,-14.6,0.2467
41,25,2,2,6,3,0,4,1,-13.2,0.2455
42,20,2,2,7,2,0,6,1,-30.4,0.2443
43,17,1,1,4,2,0,6,1,-37.7,0.243
44,42,1,1,6,4,0,12,1,-41.0,0.2418
45,25,1,1,8,2,0,8,1,-39.3,0.2406
46,24,1,1,6,2,0,5,1,-32.5,0.2394
47,20,0,0,4,2,0,3,1,-37.1,0.2382
48,6,0,0,3,1,0,0,1,-39.5,0.237
49,43,4,4,11,3,0,3,1,8.9,0.2358
50,28,3,3,8,2,0,3,1,-11.3,0.2347
51,26,1,1,4,3,0,6,1,-37.9,0.2335
52,400,4,4,14,13,0,41,0,-54.0,0.2323
53,18,1,1,4,2,0,6,1,-38.7,0.2312
54,57,2,2,12,5,0,12,1,-9.4,0.23
55,24,1,1,6,3,0,5,1,-17.3,0.2289
56,26,2,2,7,3,0,8,1,-24.3,0.2277
57,24,2,2,5,2,0,5,1,-30.8,0.2266
58,71,3,3,9,4,0,14,1,-18.1,0.2254
