round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1137,188,0,0,3,1,0,5,1,-80.0,0.05
1138,400,0,0,5,2,0,16,0,-54.3,0.05
1139,38,0,0,2,1,0,4,1,-69.1,0.05
1140,400,0,0,2,1,0,11,0,-41.5,0.05
1141,47,0,0,2,1,0,3,1,-66.6,0.05
1142,185,0,0,3,2,0,8,1,-75.1,0.05
1143,400,3,3,6,2,0,13,0,-20.5,0.05
1144,400,0,0,2,1,0,12,0,-48.2,0.05
1145,59,0,0,4,1,0,2,1,-63.2,0.05
1146,400,0,0,0,0,0,7,0,-40.5,0.05
1147,397,1,1,3,2,0,9,1,-82.6,0.05
1148,400,0,0,0,0,0,7,0,-39.2,0.05
1149,400,2,2,3,1,0,12,0,-32.1,0.05
1150,400,0,0,0,1,0,11,0,-56.3,0.05
1151,400,0,0,0,0,0,12,0,-33.7,0.05
1152,400,0,0,0,0,0,11,0,-51.0,0.05
1153,323,0,0,3,1,0,9,1,-96.1,0.05
1154,400,4,4,6,2,0,15,0,-14.8,0.05
1155,400,0,0,0,0,0,7,0,-39.2,0.05
1156,13,0,0,4,1,0,2,1,-61.4,0.05
1157,400,1,1,3,1,0,18,0,-58.8,0.05
1158,244,0,0,4,1,0,14,1,-106.9,0.05
1159,372,0,0,2,3,0,23,1,-124.6,0.05
1160,400,4,4,6,2,0,18,0,-29.8,0.05
1161,45,0,0,3,1,0,5,1,-71.4,0.05
1162,228,1,1,4,2,0,9,1,-71.8,0.05
1163,85,0,0,2,1,0,6,1,-78.3,0.05
1164,400,0,0,3,2,0,19,0,-64.7,0.05
1165,400,0,0,2,3,0,20,0,-56.7,0.05
1166,276,2,2,10,6,0,16,1,-69.4,0.05
1167,252,0,0,4,1,0,12,1,-103.3,0.05
1168,345,1,1,4,3,0,11,1,-71.8,0.05
1169,400,4,4,6,2,0,8,0,-0.6,0.05
1170,152,0,0,4,1,0,6,1,-78.7,0.05
1171,117,0,0,2,1,0,5,1,-70.6,0.05
1172,89,0,0,4,1,0,3,1,-67.2,0.05
1173,400,0,0,0,0,0,8,0,-41.2,0.05
1174,326,0,0,4,1,0,9,1,-98.1,0.05
1175,260,0,0,3,1,0,7,1,-76.6,0.05
1176,400,1,1,5,2,0,10,0,-31.0,0.05
1177,60,0,0,3,2,0,4,1,-60.1,0.05
1178,400,2,2,5,1,0,6,0,-12.0,0.05
1179,400,2,2,6,2,0,13,0,-26.3,0.05
1180,400,1,1,3,2,0,12,0,-34.0,0.05
1181,400,0,0,0,0,0,13,0,-56.3,0.05
1182,123,0,0,3,1,0,7,1,-83.6,0.05
1183,396,8,8,15,6,0,15,1,-12.2,0.05
1184,70,0,0,2,1,0,6,1,-76.5,0.05
1185,400,0,0,0,0,0,12,0,-34.1,0.05
1186,198,0,0,4,2,0,7,1,-68.8,0.05
1187,94,0,0,3,1,0,5,1,-75.3,0.05
1188,400,1,1,4,2,0,8,0,-21.6,0.05
1189,7,0,0,3,1,0,2,1,-61.0,0.05
1190,400,1,1,3,1,0,12,0,-35.4,0.05
1191,400,1,1,3,1,0,13,0,-41.8,0.05
1192,400,0,0,4,2,0,8,0,-35.2,0.05
1193,74,0,0,2,1,0,1,1,-60.7,0.05
1194,400,1,1,4,2,0,10,0,-37.7,0.05
1195,400,0,0,8,3,0,20,0,-59.0,0.05
1196,400,0,0,3,3,0,16,0,-42.2,0.05
1197,42,0,0,3,1,0,4,1,-68.3,0.05
1198,332,0,0,1,1,0,8,1,-82.5,0.05
1199,400,1,1,2,2,0,19,0,-61.8,0.05
1200,400,1,1,3,1,0,11,0,-22.2,0.05
1201,297,0,0,4,1,0,13,1,-108.5,0.05
1202,49,0,0,3,1,0,3,1,-65.7,0.05
1203,400,2,2,4,2,0,15,0,-36.5,0.05
1204,80,0,0,3,1,0,1,1,-58.7,0.05
1205,15,0,0,3,1,0,3,1,-64.0,0.05
1206,147,0,0,4,1,0,2,1,-67.6,0.05
1207,194,2,2,5,2,0,6,1,-52.3,0.05
1208,86,0,0,2,1,0,5,1,-74.8,0.05
1209,400,2,2,7,4,0,21,0,-33.9,0.05
1210,400,0,0,2,1,0,7,0,-33.4,0.05
1211,206,0,0,4,1,0,6,1,-82.3,0.05
1212,295,1,1,5,2,0,5,1,-59.1,0.05
1213,23,0,0,4,1,0,2,1,-60.9,0.05
1214,35,0,0,4,1,0,5,1,-68.9,0.05
1215,101,1,1,4,2,0,6,1,-54.9,0.05
1216,122,0,0,2,1,0,8,1,-85.6,0.05
1217,400,1,1,5,2,0,12,0,-29.0,0.05
1218,106,0,0,2,1,0,2,1,-54.5,0.05
1219,400,0,0,2,2,0,17,0,-58.4,0.05
1220,400,0,0,2,1,0,11,0,-31.8,0.05
1221,400,1,1,1,1,0,10,0,-17.9,0.05
1222,400,1,1,2,1,0,15,0,-45.4,0.05
1223,400,0,0,5,2,0,11,0,-19.6,0.05
1224,400,0,0,1,1,0,14,0,-37.3,0.05
1225,373,0,0,3,1,0,11,1,-106.0,0.05
1226,400,1,1,7,2,0,11,0,-10.9,0.05
1227,400,0,0,0,0,0,6,0,-35.3,0.05
1228,378,0,0,3,1,0,10,1,-104.2,0.05
1229,285,1,1,3,2,0,12,1,-84.5,0.05
1230,383,0,0,3,1,0,12,1,-109.9,0.05
1231,358,1,1,4,4,0,27,1,-117.3,0.05
1232,393,0,0,2,1,0,11,1,-109.9,0.05
1233,400,2,2,5,1,0,9,0,-25.9,0.05
1234,400,3,3,5,4,0,18,0,-30.9,0.05
1235,300,1,1,4,2,0,13,1,-88.5,0.05
1236,304,0,0,4,1,0,14,1,-111.8,0.05
1237,400,0,0,0,0,0,9,0,-36.3,0.05
1238,149,0,0,3,1,0,7,1,-82.5,0.05
1239,400,1,1,2,2,0,20,0,-57.5,0.05
1240,400,3,3,6,2,0,5,0,11.7,0.05
1241,377,0,0,3,1,0,11,1,-107.1,0.05
1242,69,0,0,2,1,0,5,1,-73.0,0.05
1243,177,0,0,4,1,0,4,1,-74.0,0.05
1244,221,0,0,4,1,0,10,1,-93.4,0.05
1245,400,1,1,4,2,0,10,0,-19.2,0.05
1246,236,1,1,4,2,0,1,1,-48.7,0.05
1247,358,3,3,7,2,0,8,1,-44.4,0.05
1248,400,3,3,8,4,0,18,0,-22.0,0.05
1249,400,1,1,2,1,0,14,0,-46.5,0.05
1250,163,0,0,4,1,0,3,1,-69.9,0.05
1251,26,0,0,4,1,0,4,1,-67.0,0.05
