round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1,83,1,1,3,2,0,8,1,-77.2,0.3
2,8,0,0,1,1,0,2,1,-55.8,0.2985
3,21,0,0,4,1,0,3,1,-72.8,0.297
4,14,0,0,4,2,0,6,1,-56.6,0.2955
5,20,0,0,2,1,0,4,1,-81.5,0.294
6,64,0,0,4,1,0,11,1,-81.2,0.2926
7,99,2,2,5,2,0,16,1,-95.8,0.2911
8,83,2,2,5,2,0,14,1,-81.3,0.2897
9,5,0,0,3,1,0,3,1,-63.5,0.2882
10,25,0,0,4,1,0,6,1,-86.6,0.2868
11,38,0,0,3,1,0,10,1,-101.0,0.2853
12,27,0,0,3,1,0,6,1,-86.7,0.2839
13,31,1,1,7,2,0,9,1,-58.7,0.2825
14,44,2,2,8,3,0,4,1,-31.0,0.2811
15,54,0,0,6,2,0,18,1,-107.3,0.2797
16,7,0,0,4,1,0,3,1,-63.1,0.2783
17,30,1,1,8,2,0,9,1,-63.8,0.2769
18,8,0,0,4,1,0,3,1,-63.1,0.2755
19,75,2,2,6,2,0,34,1,-149.8,0.2741
20,69,0,0,1,1,0,35,1,-169.0,0.2727
21,7,0,0,2,1,0,3,1,-67.0,0.2714
22,112,1,1,6,2,0,13,1,-73.5,0.27
23,212,5,5,21,5,0,30,1,-76.8,0.2687
24,40,1,1,4,2,0,6,1,-71.5,0.2673
25,73,0,0,6,2,0,14,1,-83.2,0.266
26,9,0,0,2,1,0,4,1,-54.6,0.2647
27,16,0,0,3,1,0,2,1,-53.3,0.2633
28,38,0,0,3,1,0,5,1,-96.7,0.262
29,9,0,0,3,1,0,3,1,-63.2,0.2607
30,17,0,0,4,1,0,4,1,-75.5,0.2594
31,11,0,0,3,1,0,3,1,-67.6,0.2581
32,85,2,2,7,2,0,15,1,-82.3,0.2568
33,58,0,0,3,1,0,7,1,-79.7,0.2555
34,93,3,3,6,3,0,21,1,-103.7,0.2543
35,130,4,4,11,3,0,35,1,-140.3,0.253
36,20,0,0,3,1,0,5,1,-70.6,0.2517
